num_samples,seed_1_time,seed_2_time,seed_3_time,seed_4_time,seed_5_time,seed_6_time,seed_7_time,seed_8_time,seed_9_time,seed_10_time
100,0.4040812470484525,0.3843677609693259,0.3857855129754171,0.36692961398512125,0.3874110769247636,0.3716034560929984,0.3827755049569532,0.3645496320677921,0.36839463596697897,0.37014043505769223
300,0.38173739390913397,0.3766610639868304,0.364618913969025,0.3634260030230507,0.3850672000553459,0.3749037329107523,0.363590658060275,0.3621160649927333,0.36307509697508067,0.36094163300003856
500,0.35960507206618786,0.364091764902696,0.36828465992584825,0.35989073594100773,0.3567398770246655,0.3605971250217408,0.3611082409042865,0.35853203502483666,0.3636898270342499,0.3643200830556452
700,0.36312078102491796,0.36414022895041853,0.36445823102258146,0.3624938561115414,0.36293053010012954,0.3747977459570393,0.36404052400030196,0.3633092709351331,0.36175517400261015,0.36030735599342734
900,0.35920150205492973,0.36432964401319623,0.364745274069719,0.36046061001252383,0.3655369150219485,0.3603863889584318,0.36016367096453905,0.35743252898100764,0.3618231110740453,0.36361173703335226
1100,0.36283947399351746,0.3642126410268247,0.3641395909944549,0.36233114101924,0.3615941440220922,0.36445451306644827,0.3640845799818635,0.3617471809266135,0.365219519007951,0.3634265350410715
1300,0.3826333510223776,0.382696935092099,0.383871232974343,0.38408537907525897,0.3845182709628716,0.38410425500478595,0.38446700503118336,0.3839312249328941,0.3840158770326525,0.3841307379771024
1500,0.39693774399347603,0.39944666100200266,0.39702746097464114,0.3993986580753699,0.3971189020667225,0.3992370549822226,0.3974150159629062,0.3993434520671144,0.39881627005524933,0.3992459239671007
1700,0.41140098904725164,0.4119369339896366,0.4123461509589106,0.4128058849601075,0.41311499394942075,0.4112019679741934,0.41109557496383786,0.41075122100301087,0.4111703430535272,0.41113024298101664
1900,0.42566969303879887,0.4256010529352352,0.42551108496263623,0.42409760609734803,0.4260418890044093,0.42584416805766523,0.423716415069066,0.425848949002102,0.4239314279984683,0.4254098000237718
2100,0.44916756404563785,0.4497108890209347,0.44786926603410393,0.4491403829306364,0.45005254494026303,0.447884434950538,0.44923575001303107,0.4497375430073589,0.44846703798975796,0.4499646669719368
2300,0.4608096210286021,0.4631847710115835,0.46236712008249015,0.462155767949298,0.4627878019819036,0.46240665891673416,0.4620924909831956,0.46234741201624274,0.4612622889690101,0.4612312000244856
2500,0.4773080280283466,0.4768900879425928,0.47560333099681884,0.47673968703020364,0.4759105941047892,0.4768616979708895,0.47665040800347924,0.47720662597566843,0.4767259790096432,0.47552105400245637
2700,0.4895487029571086,0.49007536796852946,0.49077050294727087,0.49033525900449604,0.48901986598502845,0.4892986259656027,0.4897594409994781,0.4901724079390988,0.48993066896218807,0.4901297689648345
2900,0.5031452180119231,0.5024529449874535,0.5030812229961157,0.5028109370032325,0.5029674019897357,0.503006906947121,0.5023340249899775,0.5030913320370018,0.5020825340179726,0.5026920899981633
3100,0.5157437069574371,0.5159714659675956,0.5161141679855064,0.5157866759691387,0.516142645967193,0.5164116199593991,0.5162137349834666,0.5164745190413669,0.5157643220154569,0.5161499920068309
3300,0.5287420790409669,0.5288773300126195,0.529065724927932,0.5280347119551152,0.5294950080569834,0.5289044480305165,0.529030047939159,0.5292130269808695,0.5282221880042925,0.5292736400151625
3500,0.541836321935989,0.5419110350776464,0.5420019620796666,0.5419756209012121,0.5416202489286661,0.5423200860386714,0.540008754003793,0.5399073369335383,0.5402480000630021,0.5400415449403226
3700,0.551985255908221,0.5522196040255949,0.5520644879434258,0.552342078066431,0.5523815769702196,0.552034048945643,0.5518393859965727,0.5518961519701406,0.5518995539750904,0.5519701759330928
3900,0.5644713229266927,0.565027205972001,0.5648935009958223,0.5636460100067779,0.5647140129003674,0.5646346249850467,0.5650945300003514,0.5656166359549388,0.5638606400461867,0.5636832950403914
4100,0.6429718029685318,0.6425107750110328,0.6425814280519262,0.6427361629903316,0.6428006219211966,0.6425247089937329,0.642458549933508,0.642559366999194,0.6428399160504341,0.6429624910233542
4300,0.6600570009322837,0.6753436699509621,0.7121771170059219,0.7179482689825818,0.6796319379936904,0.6359834200702608,0.6353845150442794,0.6770867418963462,0.6530367439845577,0.6454377409536391
4500,0.6554864459903911,0.6853254099842161,0.7015818060608581,0.6650449120206758,0.6528811260359362,0.6530846470268443,0.6480100329499692,0.648282113019377,0.6478022070368752,0.6480071109253913
4700,0.6642477490240708,0.6645788780879229,0.6649002908961847,0.6647085399599746,0.664408621028997,0.6649105820106342,0.6646036970196292,0.6644500240217894,0.6651235680328682,0.6644225190393627
4900,0.6794408380519599,0.6808473309502006,0.6794755419250578,0.6810140919405967,0.6796865779906511,0.6806640030117705,0.6794043179834262,0.6810866830637679,0.6793766430346295,0.6809373609721661
5100,0.6962458778871223,0.6968706159386784,0.6964150859275833,0.6965412789722905,0.6965303210308775,0.6966927460161969,0.6964927819790319,0.6965575290378183,0.6965602120617405,0.6964228559518233
