mean_gain_norm
4.405212104320526123e-01
9.925691783428192139e-02
4.415124654769897461e-02
2.999317273497581482e-02
2.291685529053211212e-02
1.821099594235420227e-02
1.460472028702497482e-02
1.181691326200962067e-02
9.604088030755519867e-03
7.953816093504428864e-03
6.603144109249114990e-03
5.620032083243131638e-03
4.823935218155384064e-03
4.231384489685297012e-03
3.737512975931167603e-03
3.324447199702262878e-03
3.045564750209450722e-03
2.793355612084269524e-03
2.572894794866442680e-03
2.411325462162494659e-03
2.302640816196799278e-03
2.223163843154907227e-03
2.075704513117671013e-03
1.948974444530904293e-03
1.866926089860498905e-03
1.801325939595699310e-03
1.734513789415359497e-03
1.671806792728602886e-03
1.599363400600850582e-03
1.580033102072775364e-03
1.549312612041831017e-03
1.518344390206038952e-03
1.478329650126397610e-03
1.447856426239013672e-03
1.415026024915277958e-03
1.392519101500511169e-03
1.373672508634626865e-03
1.348321791738271713e-03
1.334866858087480068e-03
1.329012564383447170e-03
