num_samples,seed_1_time,seed_2_time,seed_3_time,seed_4_time,seed_5_time,seed_6_time,seed_7_time,seed_8_time,seed_9_time,seed_10_time
100,0.9593002119800076,0.891023226082325,0.8929525699932128,0.894970764988102,0.8841791370650753,0.8900405729655176,0.888016044977121,0.8944119869265705,0.8996350440429524,0.8998974029673263
300,0.8878966990159824,0.8956067099934444,0.9038398650009185,0.8985486190067604,0.8944764250190929,0.8939506970345974,0.8962510969722643,0.8867963609518483,0.8940180459758267,0.9530037259683013
500,0.912368105025962,0.9038244310067967,0.8972555130021647,0.8994981769938022,0.8914070979226381,0.8892074259929359,0.9384795110672712,0.9140345270279795,0.8964005209272727,0.8966963540297002
700,0.9057761220028624,0.908191891037859,0.9040955250384286,0.9081014809198678,0.908961153938435,0.9154827840393409,0.901105756056495,0.9079744779737666,0.9286773760104552,0.9055476289940998
900,0.9046010859310627,0.9063888189848512,0.9080027539748698,0.9077505019959062,0.9047485659830272,0.910127668059431,0.9098581071011722,0.9087102439953014,0.9044712269678712,0.9075106679229066
1100,0.9172870320035145,0.9169085039757192,0.9404692109674215,0.9936462079640478,0.9320276220096275,0.9246615059673786,0.930209405021742,0.9554838270414621,0.9804147499380633,0.9734600681113079
1300,0.9467544939834625,0.9517622319981456,0.9877386590233073,0.9741451720474288,0.9814207319868729,0.9802385519724339,0.9466307990951464,0.9480004989309236,0.9902448439970613,1.035471587907523
1500,0.9795760120032355,0.9775273890700191,0.9817321539158002,0.9804634440224618,0.9804562740027905,0.9794119650032371,0.9808116030180827,0.9813903330359608,0.9805013560689986,0.9799667099723592
1700,1.0116370680043474,1.0117743340088055,1.0110277959611267,1.011577646015212,1.0113532999530435,1.011007857043296,1.0103472019545734,1.0121646659681574,1.0430979679804295,1.0282086650840938
1900,1.0850727719953284,1.0814142909366637,1.0821287810103968,1.064599165925756,1.0585353979840875,1.0548386969603598,1.056523115024902,1.0631019630236551,1.0607819990254939,1.06539454695303
2100,1.1159827819792554,1.1068482160335407,1.1385034170234576,1.1282342280028388,1.09787840093486,1.0977531910175458,1.100196521030739,1.0964628349756822,1.0985336790326983,1.098289679037407
2300,1.1540657059522346,1.134847868932411,1.1266587690915912,1.1300330450758338,1.1335930159548298,1.1733712010318413,1.147919413051568,1.1274583929916844,1.1285240069264546,1.1275056190788746
2500,1.1578940659528598,1.1522032750071958,1.1549577970290557,1.1522124879993498,1.157805257011205,1.1543993320083246,1.154944292968139,1.153636276954785,1.153426882927306,1.1519059489946812
2700,1.1831656120484695,1.182372423936613,1.1839345321059227,1.1822845069691539,1.183134197955951,1.1838466960471123,1.1822826899588108,1.184036138933152,1.1825971360085532,1.18223111203406
2900,1.2129035890102386,1.2123050250811502,1.2125959630357102,1.2130492490250617,1.2118485230021179,1.2141919420100749,1.2121804000344127,1.213115053018555,1.21411200996954,1.2116914719808847
3100,1.2429395209765062,1.2525395549600944,1.2439266090514138,1.2450985499890521,1.2440103059634566,1.244520260952413,1.246933151036501,1.2427599859656766,1.2420683100353926,1.2461756049888209
3300,1.2732925179880112,1.2734031999716535,1.271989210974425,1.2719725059578195,1.2737038070335984,1.2746707290643826,1.2753663499606773,1.2732297279872,1.2731749590020627,1.2755108289420605
3500,1.305579381994903,1.3032186110503972,1.3040592449251562,1.3031770340166986,1.3036919080186635,1.3039505389751866,1.303591183037497,1.3047712319530547,1.3031767569482327,1.3028164289426059
3700,1.3357280250638723,1.3323255949653685,1.3358359660487622,1.3311603059992194,1.3509874970186502,1.3359344329219311,1.333922837045975,1.3369615779956803,1.3350369379622862,1.3349221650278196
3900,1.3649194969329983,1.3647122400579974,1.363566474057734,1.365826637018472,1.3646991979330778,1.3639614350395277,1.3638479510555044,1.3630059090210125,1.3653294339310378,1.3647293150424957
4100,1.5505190580151975,1.5530788969481364,1.5522851319983602,1.5517007069429383,1.5513667549239472,1.5499545220518485,1.551375268958509,1.550324525916949,1.551747538964264,1.5524692840408534
4300,1.5924534290097654,1.5924319069599733,1.5913921049796045,1.5909423130797222,1.592729619005695,1.5917491010623053,1.5915769580751657,1.5920301270671189,1.5909290930721909,1.591697879950516
4500,1.625209723948501,1.6264828919665888,1.624784160987474,1.6245723569300026,1.6252988410415128,1.625929051078856,1.6262188400141895,1.6260294310050085,1.6248941579833627,1.6262493730755523
4700,1.6639638440683484,1.663643726031296,1.6648551530670375,1.6661803250899538,1.6660226039821282,1.670300742960535,1.7107349321013317,1.6646499820053577,1.6646628739545122,1.6644307120004669
4900,1.703579912893474,1.7031437091063708,1.7024791600415483,1.7045860060025007,1.7045220759464428,1.7044424869818613,1.704033947084099,1.7040491929510608,1.7024990590289235,1.7030956509988755
5100,1.7461478949990124,1.7451279169181362,1.7443340600002557,1.7444762999657542,1.7429716640617698,1.7427824779879302,1.744763205992058,1.743710814975202,1.7442502750782296,1.7444775589974597
